NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(ug),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(ug),Folic_Acid_(ug),Food_Folate_(ug),Folate_DFE_(ug),Choline_Tot_(mg),Vit_B12_(ug),Vit_A_IU,Vit_A_RAE,Retinol_(ug),Alpha_Carot_(ug),Beta_Carot_(ug),Beta_Crypt_(ug),Lycopene_(ug),Lut+Zea_(ug),Vit_E_(mg),Vit_D_(ug),Vit_D_IU,Vit_K_(ug),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
1001,Energy Drink,5.037005676,352.3581573,15.04119629,24.91940489,4.301456204,12.96315927,1.383696094,16.08269207,212.2495276,1.77554606,0.35640335,344.1878589,991.0892294,194.5565078,0.411809571,9.998972931,9.682713094,41.18612547,66.17553112,3.562420534,3.319444941,21.9994141,3.385567769,2.928339927,71.05128708,289.2179709,28.09368166,154.9844176,347.6446548,8.838026803,4337.199661,608.6741013,981.6251281,299.3031024,541.1811227,400.6483891,232.8051604,60.48888426,0.455388532,16.225499,545.4402042,409.1505671,13.39244486,12.57141444,11.40977308,438.868764,120.7462404,Serving,440.1156317,Piece
1002,Cauliflower,69.90980747,251.3821418,3.948495469,12.18117623,4.312533248,4.13063469,17.33405958,9.435268312,293.0816969,7.994637156,108.293667,109.9445812,688.5117451,264.0020063,18.04136694,1.401400005,5.932000191,46.03183112,79.48358677,3.582406173,1.736086564,5.150512328,1.108377621,2.239398235,200.1803272,168.8850048,77.19769386,233.1811204,126.449601,0.814427259,5.388578006,543.1150091,796.0961966,158.443699,433.0551186,587.1874146,297.7100389,707.5607924,28.7931559,13.8674981,556.8675125,20.18172862,37.38455471,17.6443512,22.56686231,140.3059971,71.68959706,Serving,129.1030752,Piece
1003,Pie,99.23963989,363.234726,36.34389829,49.89587622,5.311951228,0.474750432,8.367268552,43.68403751,169.6104092,4.731756906,197.9825165,306.3633849,539.7510128,243.9312042,2.017525303,3.560662722,0.769222261,12.43678947,53.01645379,9.792654592,2.626122826,46.21360219,1.411129878,4.037538986,195.7281971,255.3696915,218.7810253,374.2160975,342.3704889,5.153472574,232.2293814,1063.232238,1123.008649,138.3901605,187.7024402,397.9993097,48.62707007,803.7304762,8.979592204,44.71391521,1207.344188,301.9898376,3.343170957,3.497445731,1.846277099,393.5463356,41.42220072,Serving,206.487708,Piece
1004,Clam Chowder,26.72625379,220.2467652,48.77120672,33.55577872,4.70647354,35.68050812,18.49649747,36.14446098,240.2788468,16.05722156,65.64346192,56.56168525,182.1094474,523.6133348,0.509520072,6.707334008,9.495502315,73.54619143,8.987756081,2.339008724,2.652538427,34.30925274,8.077445683,4.00649445,76.57020616,349.6545283,152.4241411,266.89545,334.6862867,4.445771133,3498.713916,938.4748024,107.8315567,226.3895959,270.8795013,525.5322064,289.478061,3.835504487,41.95764501,5.883029386,1666.480269,343.8825673,43.94475206,28.11373641,23.4829069,207.8518668,130.4861472,Serving,146.400006,Piece
1005,New England Clam Chowder,67.90906156,95.01442218,39.10446886,44.18897183,6.979938198,24.25320163,12.84558659,48.90394568,452.0452109,2.559057917,95.53576125,377.2733298,264.0419748,727.6409538,16.7415874,0.194878524,9.940226338,10.76714378,3.24673066,5.81872517,8.996630996,5.050236518,6.386020078,2.805377958,184.3496802,383.6326423,142.1958938,118.3623036,77.67264915,3.666214056,46.58660938,532.5619955,578.2146398,575.3308886,350.4975916,247.8311362,121.2408242,199.3604068,31.41603193,2.638242582,1992.05314,89.91399681,43.60017879,37.40104121,29.75747385,198.8867667,251.6729132,Serving,8.076852209,Piece
1006,Ginger Beef,86.42814427,482.115553,12.3522606,19.64833874,5.418223988,55.53854838,10.32726293,3.760169037,83.80675817,2.412009827,175.9647154,22.27471483,819.8447406,278.7510007,10.24440908,4.954073936,3.955772366,85.43488203,54.48755908,9.210334613,7.818098939,36.89852386,3.666094496,6.634466359,0.249153027,166.697912,139.4735773,212.8086741,376.5578182,6.451866794,220.581715,1499.956419,1027.237348,257.1127356,786.7476841,696.2115072,472.0044627,922.3029025,31.8091974,5.802459534,1612.093924,201.3632178,44.51984942,27.74557325,22.73393351,50.31894739,10.94715252,Serving,139.504838,Piece
1007,Ramen,75.08442456,82.59550136,1.828049281,46.24199082,5.423404507,92.39346815,11.34481111,15.73620292,396.7007935,15.63041311,106.9066213,499.1715937,69.57498645,181.311262,0.088634273,0.13223039,8.258456444,53.1763398,188.2347066,2.782409212,5.490858276,15.17116021,0.528854555,3.785825019,30.84511273,288.6516137,28.43527474,387.8404705,358.120817,3.549387923,1890.1172,898.7496266,1111.660498,969.5185097,483.3006263,482.2179374,335.1131654,4.380871217,22.54286693,5.220570237,742.9019621,319.9386301,40.60967291,13.44461708,13.2200123,422.149823,276.3076503,Serving,270.3889196,Piece
1008,Sole,96.44897678,58.6852729,20.34609657,12.58133781,6.672132486,3.904725996,10.72911276,20.3231271,231.0682029,7.035729605,119.0448195,400.7025257,14.16872603,718.1113669,1.963443069,2.541917235,4.338786092,61.66850507,64.84760161,5.264508428,5.464158517,46.0179786,0.977356526,1.308344698,190.4926605,307.9152815,62.97244261,112.0529027,395.153935,7.427771067,2110.359996,87.92061961,563.7314903,101.6069918,846.2440337,501.1566166,65.89350113,102.6238982,25.09971161,1.402618198,320.7464813,36.73696208,34.37662274,38.27694153,35.78236565,274.3157792,280.4319673,Serving,39.20721237,Piece
1009,Tomato,55.42424351,490.8079633,43.88753942,7.894193513,5.22390121,43.52661593,2.735398736,48.12711758,128.4705926,15.74481719,71.63136952,306.3483265,611.3608618,937.6867251,2.675806701,9.19521988,6.954627648,82.88577075,177.7144397,7.688547126,1.617021552,3.182459709,5.795248698,5.874870025,348.0980979,282.9436366,161.0417084,306.8278785,387.5807922,0.65719587,1793.783053,405.21101,44.46078053,248.0809872,837.1492199,260.6571769,353.9683016,36.97063768,48.53128073,13.27352695,1780.439602,278.1764157,4.683316021,39.87531179,2.861908106,181.7422411,105.2874847,Serving,390.0859201,Piece
1010,Katsu,21.23904989,116.8151395,21.59968922,39.34300137,0.621308055,66.76457237,13.43136651,29.53932919,343.23488,13.29387535,95.08051461,384.2502118,676.1374906,364.287089,7.591033687,3.085952267,0.418718772,33.62549891,23.62452613,1.902202029,3.310996001,15.56747411,5.702280184,1.747157582,8.004448849,213.8438945,198.5867208,336.8919345,100.2679473,4.158775499,4239.480208,1248.912194,213.1007584,345.8771692,984.3948061,749.8767993,404.8665955,934.6360932,35.56279484,38.68498848,1353.19438,222.0505728,21.75695956,18.07825968,39.72872089,85.50134626,4.892343407,Serving,255.9602286,Piece
